Director,Film
Ingmar Bergman,Sunrise
Ingmar Bergman,Pépé le Moko
Ingmar Bergman,Hotel du Nord
Ingmar Bergman,Port of Shadows
Ingmar Bergman,Le Jour Se Leve
Ingmar Bergman,Rashomon
Ingmar Bergman,Diary of a Country Priest
Ingmar Bergman,Monsieur Hulot's Holiday
Ingmar Bergman,La strada
Ingmar Bergman,La Notte
Ingmar Bergman,Psycho
Ingmar Bergman,La Dolce Vita
Ingmar Bergman,The Conductor
Ingmar Bergman,Marianne and Juliane
Ingmar Bergman,Raven's End
Alfred Hitchcock,Forbidden Fruit
Alfred Hitchcock,A Ride on a Runaway Train
Alfred Hitchcock,Destiny
Alfred Hitchcock,The Last Laugh
Alfred Hitchcock,Un chien andalou
Alfred Hitchcock,Bicycle Thieves
Alfred Hitchcock,Les Diaboliques
Alfred Hitchcock,Peeping Tom
Alfred Hitchcock,Blowup
Francis Ford Coppola,Ashes And Diamonds
Francis Ford Coppola,The Best Years Of Our Lives
Francis Ford Coppola,I Vitelloni
Francis Ford Coppola,The Bad Sleep Well
Francis Ford Coppola,Yojimbo
Francis Ford Coppola,Singin' In The Rain
Francis Ford Coppola,The King Of Comedy
Francis Ford Coppola,Raging Bull
Francis Ford Coppola,The Apartment
Francis Ford Coppola,Sunrise
